Codigo_NCM,Capitulo,Descr_Capitulo,Posicao,Descr_Posicao,Descricao,Data_Inicio,Data_Fim,Ato_Legal
22,22,"Bebidas, líquidos alcoólicos e vinagres.",22,,"Bebidas, líquidos alcoólicos e vinagres.",01/04/2022,31/12/9999,Res Camex 272 2021
2201.10.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2201,,- Águas minerais e águas gaseificadas,01/04/2022,31/12/9999,Res Camex 272 2021
2201.90.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2201,,- Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2202.9,22,"Bebidas, líquidos alcoólicos e vinagres.",2202,,- Outras:,01/04/2022,31/12/9999,Res Camex 272 2021
2202.91.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2202,,-- Cerveja sem álcool,01/04/2022,31/12/9999,Res Camex 272 2021
2202.99.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2202,,-- Outras,01/04/2022,31/12/9999,Res Camex 272 2021
2203.00.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2203,,Cervejas de malte.,01/04/2022,31/12/9999,Res Camex 272 2021
2204.10,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,- Vinhos espumantes e vinhos espumosos,01/04/2022,31/12/9999,Res Camex 272 2021
2204.10.10,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Tipo champanha (champagne),01/04/2022,31/12/9999,Res Camex 272 2021
2204.10.90,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2204.21.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,-- Em recipientes de capacidade não superior a 2 l,01/04/2022,31/12/9999,Res Camex 272 2021
2204.22,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,"-- Em recipientes de capacidade superior a 2 l, mas não superior a 10 l",01/04/2022,31/12/9999,Res Camex 272 2021
2204.22.1,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Vinhos,01/04/2022,31/12/9999,Res Camex 272 2021
2204.22.11,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Em recipientes de capacidade não superior a 5 l,01/04/2022,31/12/9999,Res Camex 272 2021
2204.22.19,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2204.22.20,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Mostos,01/04/2022,31/12/9999,Res Camex 272 2021
2204.29,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,-- Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2204.29.10,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Vinhos,01/04/2022,31/12/9999,Res Camex 272 2021
2204.29.20,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,Mostos,01/04/2022,31/12/9999,Res Camex 272 2021
2204.30.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2204,,- Outros mostos de uvas,01/04/2022,31/12/9999,Res Camex 272 2021
2205.10.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2205,,- Em recipientes de capacidade não superior a 2 l,01/04/2022,31/12/9999,Res Camex 272 2021
2205.90.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2205,,- Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2206.00.10,22,"Bebidas, líquidos alcoólicos e vinagres.",2206,,Sidra,01/04/2022,31/12/9999,Res Camex 272 2021
2206.00.90,22,"Bebidas, líquidos alcoólicos e vinagres.",2206,,Outras,01/04/2022,31/12/9999,Res Camex 272 2021
2207.10.10,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,Com um teor de água inferior ou igual a 1 % vol.,01/04/2022,31/12/9999,Res Camex 272 2021
2207.10.90,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2207.20,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,"- Álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico",01/04/2022,31/12/9999,Res Camex 272 2021
2207.20.1,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,Álcool etílico,01/04/2022,31/12/9999,Res Camex 272 2021
2207.20.11,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,Com um teor de água inferior ou igual a 1 % vol.,01/04/2022,31/12/9999,Res Camex 272 2021
2207.20.19,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2207.20.20,22,"Bebidas, líquidos alcoólicos e vinagres.",2207,,Aguardente,01/04/2022,31/12/9999,Res Camex 272 2021
2208.20.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,"- Aguardentes de vinho ou de bagaço, de uvas",01/04/2022,31/12/9999,Res Camex 272 2021
2208.30,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,- Uísques,01/04/2022,31/12/9999,Res Camex 272 2021
2208.30.20,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,Em embalagens de capacidade inferior ou igual a 2 l,01/04/2022,31/12/9999,Res Camex 272 2021
2208.30.90,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2208.50.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,- Gim e genebra,01/04/2022,31/12/9999,Res Camex 272 2021
2208.60.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,- Vodca,01/04/2022,31/12/9999,Res Camex 272 2021
2208.70.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,- Licores,01/04/2022,31/12/9999,Res Camex 272 2021
2208.90.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2208,,- Outros,01/04/2022,31/12/9999,Res Camex 272 2021
2209.00.00,22,"Bebidas, líquidos alcoólicos e vinagres.",2209,,"Vinagres e seus sucedâneos obtidos a partir do ácido acético, para uso alimentar.",01/04/2022,31/12/9999,Res Camex 272 2021
